Node,Category
Mohamed Abdel-Shafy,player
Shehu Abdullahi,player
Amir Abedzadeh,player
Johnny Acosta,player
Marcos Acuña,player
Luis Advíncula,player
Sergio Agüero,player
Abel Aguilar,player
Youssef Aït Bennasser,player
Manuel Akanji,player
Igor Akinfeev,player
Daniel Akpeyi,player
Jordi Alba,player
Mohammed Al-Breik,player
Ali Al-Bulaihi,player
Salem Al-Dawsari,player
Toby Alderweireld,player
Trent Alexander-Arnold,player
Salman Al-Faraj,player
Mansoor Al-Harbi,player
"Alisson (footballer, born 1992)",player
Taisir Al-Jassim,player
Abdullah Al-Khaibari,player
Abdulmalek Al-Khaibri,player
Dele Alli,player
Abdullah Al-Mayouf,player
Housain Al-Mogahwi,player
Yasser Al-Mosailem,player
Fahad Al-Muwallad,player
Mohammed Al-Owais,player
Mohammad Al-Sahlawi,player
Yasser Al-Shahrani,player
Yahya Al-Shehri,player
Edson Álvarez,player
Bruno Alves,player
Vahid Amiri,player
Nordin Amrabat,player
Sofyan Amrabat,player
Cristian Ansaldi,player
Karim Ansarifard,player
Javier Aquino,player
Pedro Aquino,player
Miguel Araujo,player
Alphonse Areola,player
Santiago Arias,player
Franco Armani,player
Kári Árnason,player
Kepa Arrizabalaga,player
Abdiel Arroyo,player
Daniel Arzani,player
Marco Asensio,player
Ayman Ashraf,player
Iago Aspas,player
Muhannad Assiri,player
Ludwig Augustinsson,player
Ricardo Ávila,player
Chidozie Awaziem,player
Hugo Ayala,player
Sardar Azmoun,player
Randall Azofeifa,player
César Azpilicueta,player
Carlos Bacca,player
Milan Badelj,player
Anice Badri,player
Hattan Bahebri,player
Keita Baldé,player
Leon Balogun,player
Felipe Baloy,player
Éver Banega,player
Édgar Yoel Bárcenas,player
Wílmar Barrios,player
Michy Batshuayi,player
Jan Bednarek (footballer),player
Rami Bedoui,player
Aziz Behich,player
Valon Behrami,player
Alireza Beiranvand,player
Younès Belhanda,player
Mohamed Amine Ben Amor,player
Farouk Ben Mustapha,player
Fakhreddine Ben Youssef,player
Syam Ben Youssef,player
Yohan Benalouane,player
Medhi Benatia,player
Rodrigo Bentancur,player
Bartosz Bereszyński,player
Marcus Berg,player
"Beto (footballer, born 1982)",player
Bartosz Białkowski,player
Lucas Biglia,player
Birkir Bjarnason,player
Jakub Błaszczykowski,player
Jérôme Boateng,player
Jón Daði Böðvarsson,player
Christian Bolaños,player
Celso Borges,player
Miguel Borja,player
Aziz Bouhaddouz,player
Yassine Bounou,player
Mbark Boussoufa,player
Khalid Boutaïb,player
Dedryck Boyata,player
Filip Bradarić,player
Martin Braithwaite,player
Julian Brandt,player
Dylan Bronn,player
Marcelo Brozović,player
Roman Bürki,player
Sergio Busquets,player
Jack Butland,player
Willy Caballero,player
Carlos Cáceda,player
Martín Cáceres,player
Gary Cahill,player
Tim Cahill,player
José Calderón (Panamanian footballer),player
Duje Ćaleta-Car,player
Francisco Calvo,player
Martín Campaña,player
Joel Campbell,player
Mehdi Carcela,player
Yannick Carrasco,player
André Carrillo,player
Wilder Cartagena,player
Dani Carvajal,player
William Carvalho,player
José Carvallo,player
Casemiro,player
Cássio Ramos,player
Koen Casteels,player
Edinson Cavani,player
Cédric Soares,player
Ghailene Chaalali,player
Nacer Chadli,player
Denis Cheryshev,player
Rouzbeh Cheshmi,player
Jo Hyeon-woo,player
Andreas Christensen,player
Thiago Cionek,player
Viktor Claesson,player
Sebastián Coates,player
Daniel Colindres,player
Armando Cooper,player
Vedran Ćorluka,player
Andreas Cornelius,player
Jesús Manuel Corona,player
José de Jesús Corona,player
Aldo Corzo,player
Diego Costa,player
Douglas Costa,player
Manuel da Costa (footballer),player
Thibaut Courtois,player
Philippe Coutinho,player
José Fernando Cuadrado,player
Juan Cuadrado,player
Christian Cueva,player
Harold Cummings,player
Henrik Dalsgaard,player
"Danilo (footballer, born July 1991)",player
Erick Davis,player
Giorgian De Arrascaeta,player
Kevin De Bruyne,player
David de Gea,player
Milos Degenek,player
Ashkan Dejagah,player
Thomas Delaney,player
Fabian Delph,player
Mousa Dembélé (Belgian footballer),player
Ousmane Dembélé,player
Leander Dendoncker,player
Ángel Di María,player
Abdoulaye Diallo,player
Rúben Dias,player
Farid Díaz,player
"Ismael Díaz (footballer, born 1997)",player
Eric Dier,player
Mame Biram Diouf,player
Nabil Dirar,player
Johan Djourou,player
Marko Dmitrović,player
Kasper Dolberg,player
Giovani dos Santos,player
Jonathan dos Santos,player
Julian Draxler,player
Josip Drmić,player
Óscar Duarte (Costa Rican footballer),player
Jimmy Durmaz,player
Paulo Dybala,player
Alan Dzagoev,player
Blerim Džemaili,player
Artem Dzyuba,player
Omid Ebrahimi,player
Tyronne Ebuehi,player
Elderson Echiéjilé,player
Ederson Moraes,player
Albin Ekdal,player
Sherif Ekramy,player
Karim El Ahmadi,player
Ayoub El Kaabi,player
Essam El-Hadary,player
Mohamed El-Shenawy,player
Ahmed Elmohamady,player
Mohamed Elneny,player
Nico Elvedi,player
Breel Embolo,player
Youssef En-Nesyri,player
Wataru Endo,player
Christian Eriksen,player
Fidel Escobar,player
Peter Etebo,player
Hólmar Örn Eyjólfsson,player
Saeid Ezatolahi,player
Ikechukwu Ezenwa,player
Marco Fabián,player
Łukasz Fabiański,player
Fagner Conserva Lemos,player
Fayçal Fajr,player
Radamel Falcao,player
Jefferson Farfán,player
Ahmed Fathy,player
Federico Fazio,player
Nabil Fekir,player
Marouane Fellaini,player
"Bruno Fernandes (footballer, born 1994)",player
Gelson Fernandes,player
"Manuel Fernandes (footballer, born 1986)",player
Mário Fernandes (footballer),player
Fernandinho (footballer),player
Filipe Luís,player
Alfreð Finnbogason,player
Roberto Firmino,player
Viktor Fischer,player
Edison Flores,player
José Fonte,player
Emil Forsberg,player
"Fred (footballer, born 1993)",player
Remo Freuler,player
Samúel Friðjónsson,player
Omar Gaber,player
Ali Gabr,player
Vladimir Gabulov,player
Jesús Gallardo,player
Pedro Gallese,player
Cristian Gamboa,player
Lamine Gassama,player
Mario Gavranović,player
Yury Gazinsky,player
Pedro Geromel,player
Saman Ghoddos,player
Reza Ghoochannejhad,player
José Giménez,player
Matthias Ginter,player
Olivier Giroud,player
Rúrik Gíslason,player
Kamil Glik,player
Go Yo-han,player
Diego Godín,player
Aníbal Godoy,player
Aleksandr Golovin (footballer),player
Gabriel Enrique Gómez,player
Mario Gómez,player
Maxi Gómez,player
Alfred Gomis,player
Giancarlo González,player
Jacek Góralski,player
Leon Goretzka,player
Vladimir Granat,player
Andreas Granqvist,player
Antoine Griezmann,player
Kamil Grosicki,player
Marko Grujić,player
Andrés Guardado,player
"Albert Guðmundsson (footballer, born 1997)",player
Jóhann Berg Guðmundsson,player
Gonçalo Guedes,player
Raphaël Guerreiro,player
Paolo Guerrero,player
Idrissa Gueye,player
John Guidetti,player
İlkay Gündoğan,player
Aron Gunnarsson,player
Érick Gutiérrez,player
Kenner Gutiérrez,player
David Guzmán,player
Nahuel Guzmán,player
Oussama Haddadi,player
Ehsan Hajsafi,player
Achraf Hakimi,player
Hannes Þór Halldórsson,player
Emil Hallfreðsson,player
Mahmoud Hamdy,player
Tarek Hamed,player
Genki Haraguchi,player
Amine Harit,player
Makoto Hasebe,player
Trézéguet (Egyptian footballer),player
Mouez Hassen,player
Motaz Hawsawi,player
Omar Hawsawi,player
Osama Hawsawi,player
Eden Hazard,player
Thorgan Hazard,player
Jonas Hector,player
Ahmed Hegazi (footballer),player
Filip Helander,player
Jordan Henderson,player
Javier Hernández,player
Lucas Hernández,player
Héctor Herrera,player
Masaaki Higashiguchi,player
Gonzalo Higuaín,player
Oscar Hiljemark,player
Keisuke Honda,player
Hong Chul,player
Majid Hosseini,player
Mats Hummels,player
Paolo Hurtado,player
Hwang Hee-chan,player
Brian Idowu,player
Odion Ighalo,player
Sergei Ignashevich,player
Kelechi Iheanacho,player
Sverrir Ingi Ingason,player
Andrés Iniesta,player
Takashi Inui,player
Jackson Irvine,player
Isco,player
Branislav Ivanović,player
Alex Iwobi,player
"José Izquierdo (footballer, born 1992)",player
Alireza Jahanbakhsh,player
Jang Hyun-soo,player
Pontus Jansson,player
Adnan Januzaj,player
Mile Jedinak,player
Artur Jędrzejczyk,player
Tin Jedvaj,player
Gabriel Jesus,player
Raúl Jiménez,player
João Mário (Portuguese footballer),player
Karl-Johan Johnsson,player
Brad Jones (footballer),player
"Phil Jones (footballer, born 1992)",player
Mathias Jørgensen,player
Nicolai Jørgensen,player
Luka Jović,player
Ju Se-jong,player
Jung Seung-hyun,player
Jung Woo-young,player
Tomi Juric,player
Matthew Jurman,player
Shinji Kagawa,player
Kahraba (footballer),player
Lovre Kalinić,player
Nikola Kalinić,player
Harry Kane,player
Mohamed Kanno,player
N'Golo Kanté,player
Eiji Kawashima,player
Saber Khalifa,player
"Ahmed Khalil (footballer, born 1994)",player
Mohammad Reza Khanzadeh,player
Saîf-Eddine Khaoui,player
Wahbi Khazri,player
Sami Khedira,player
Ki Sung-yueng,player
Isaac Kiese Thelin,player
Kim Jin-hyeon,player
Kim Min-woo (footballer),player
Kim Seung-gyu,player
Kim Shin-wook,player
Kim Young-gwon,player
Joshua Kimmich,player
Presnel Kimpembe,player
Simon Kjær,player
Jonas Knudsen,player
"Koke (footballer, born 1992)",player
Aleksandar Kolarov,player
Vincent Kompany,player
Moussa Konaté (footballer),player
Koo Ja-cheol,player
Filip Kostić,player
Kalidou Koulibaly,player
Cheikhou Kouyaté,player
Mateo Kovačić,player
Dawid Kownacki,player
Emil Krafth,player
Andrej Kramarić,player
Michael Krohn-Dehli,player
Toni Kroos,player
Robbie Kruse,player
Grzegorz Krychowiak,player
Fyodor Kudryashov,player
Rafał Kurzawa,player
Ilya Kutepov,player
Daler Kuzyayev,player
William Kvist,player
Michael Lang (footballer),player
Sebastian Larsson,player
Diego Laxalt,player
Miguel Layún,player
Mathew Leckie,player
"Lee Jae-sung (footballer, born 1992)",player
Lee Seung-woo,player
"Lee Yong (footballer, born 1986)",player
Thomas Lemar,player
Lukas Lerager,player
Jefferson Lerma,player
Robert Lewandowski,player
Stephan Lichtsteiner,player
Victor Lindelöf,player
Karol Linetty,player
Jesse Lingard,player
Dominik Livaković,player
Adem Ljajić,player
Hugo Lloris,player
Giovani Lo Celso,player
Ruben Loftus-Cheek,player
Anthony Lopes,player
Jonas Lössl,player
Dejan Lovren,player
Nilson Loyola,player
Hirving Lozano,player
Romelu Lukaku,player
Andrey Lunyov,player
Massimo Luongo,player
Mikael Lustig,player
Ali Maâloul,player
Adolfo Machado,player
Jamie Maclaren,player
Hörður Björgvin Magnússon,player
Harry Maguire,player
Tomoaki Makino,player
Steve Mandanda,player
Mario Mandžukić,player
Sadio Mané,player
"Marcelo (footballer, born 1988)",player
Mário Rui,player
Rafael Márquez,player
Marquinhos,player
Gelson Martins,player
Javier Mascherano,player
Aymen Mathlouthi,player
Nemanja Matić,player
Blaise Matuidi,player
Mohammad Rashid Mazaheri,player
Kylian Mbappé,player
Adama Mbengue,player
Kara Mbodji,player
Benjamin Mendy,player
Hamza Mendyl,player
Gabriel Mercado,player
James Meredith (footballer),player
Yassine Meriah,player
Dries Mertens,player
Lionel Messi,player
Thomas Meunier,player
Maximiliano Meza,player
Simon Mignolet,player
John Obi Mikel,player
Nikola Milenković,player
Arkadiusz Milik,player
Sergej Milinković-Savić,player
Luka Milivojević,player
Mark Milligan,player
Yerry Mina,player
Aleksei Miranchuk,player
Anton Miranchuk,player
Miranda (footballer),player
Aleksandar Mitrović (footballer),player
Luka Modrić,player
Milad Mohammadi,player
Marwan Mohsen,player
Johan Mojica,player
Nacho Monreal,player
Pejman Montazeri,player
Moon Seon-min,player
Aaron Mooy,player
Leonel Moreira,player
Héctor Moreno,player
Sam Morsy,player
Victor Moses,player
François Moubandje,player
João Moutinho,player
Thomas Müller,player
Munir Mohand Mohamedi,player
Luis Muriel,player
Michael Amir Murillo,player
Óscar Murillo,player
Ahmed Musa,player
Fernando Muslera,player
Yoshinori Muto,player
Yvon Mvogo,player
Andrew Nabbout,player
"Nacho (footballer, born 1990)",player
Yuto Nagatomo,player
Hamdi Nagguez,player
Kosuke Nakamura,player
Nahitan Nández,player
Keylor Navas,player
Alfred N'Diaye,player
Badou Ndiaye,player
Khadim N'Diaye,player
Wilfred Ndidi,player
Cheikh N'Doye,player
Manuel Neuer,player
Neymar,player
M'Baye Niang,player
Kristoffer Nordfeldt,player
Simeon Nwankwo,player
Steven Nzonzi,player
Joel Obi,player
Guillermo Ochoa,player
Álvaro Odriozola,player
John Ogu,player
Oh Ban-suk,player
Shinji Okazaki,player
Robin Olsen,player
Martin Olsson,player
Kenneth Omeruo,player
Ogenyi Onazi,player
Yuya Osako,player
Ryota Oshima,player
David Ospina,player
Nicolás Otamendi,player
Abdullah Otayf,player
Luis Ovalle,player
Bryan Oviedo,player
Mesut Özil,player
Park Joo-ho,player
Rui Patrício,player
Paulinho (footballer),player
Benjamin Pavard,player
Cristian Pavón,player
Michał Pazdan,player
Patrick Pemberton,player
Jaime Penedo,player
"Pepe (footballer, born 1983)",player
Oribe Peralta,player
Maxi Pereira,player
Blas Pérez,player
Enzo Pérez,player
Ivan Perišić,player
Sławomir Peszko,player
Dimitri Petratos,player
Jordan Pickford,player
Valentín Pimentel,player
Gerard Piqué,player
Łukasz Piszczek,player
Josip Pivarić,player
Marko Pjaca,player
Marvin Plattenhardt,player
Paul Pogba,player
Andy Polo,player
Nick Pope (footballer),player
Yussuf Poulsen,player
Morteza Pouraliganji,player
Aleksandar Prijović,player
Ricardo Quaresma,player
Juan Fernando Quintero,player
Nemanja Radonjić,player
Predrag Rajković,player
Ivan Rakitić,player
Adil Rami,player
Christian Ramos,player
Sergio Ramos,player
Marcus Rashford,player
Ante Rebić,player
Pepe Reina,player
Renato Augusto,player
Marco Reus,player
Ramin Rezaeian,player
"Ricardo Pereira (footballer, born 1993)",player
Josh Risdon,player
Milan Rodić,player
"Rodrigo (footballer, born 1991)",player
Alberto Junior Rodríguez,player
Álex Rodríguez (Panamanian footballer),player
Cristian Rodríguez,player
James Rodríguez,player
"José Luis Rodríguez (footballer, born 1998)",player
Ricardo Rodríguez (footballer),player
Tom Rogic,player
Marcus Rohdén,player
Marcos Rojo,player
Cristiano Ronaldo,player
Frederik Rønnow,player
"Danny Rose (footballer, born 1990)",player
Antonio Rüdiger,player
Sebastian Rudy,player
Raúl Ruidíaz,player
Bryan Ruiz,player
Antonio Rukavina,player
Rúnar Alex Rúnarsson,player
Mathew Ryan,player
Maciej Rybus,player
Youssouf Sabaly,player
Birkir Már Sævarsson,player
Abdallah Said,player
Trent Sainsbury,player
Romain Saïss,player
Gōtoku Sakai,player
Hiroki Sakai,player
Diafra Sakho,player
Mohamed Salah,player
Carlos Salcedo,player
Eduardo Salvio,player
Aleksandr Samedov,player
Saad Samir,player
Carlos Andrés Sánchez,player
Carlos Sánchez Moreno,player
Dávinson Sánchez,player
Salif Sané,player
Anderson Santamaría,player
Ismaïla Sarr,player
Ferjani Sassi,player
Saúl Ñíguez,player
Fabian Schär,player
Kasper Schmeichel,player
Lasse Schöne,player
Frederik Schram,player
Haris Seferović,player
Andrei Sergeyevich Semyonov,player
Xherdan Shaqiri,player
Gaku Shibasaki,player
Shikabala,player
Masoud Shojaei,player
Gen Shoji,player
"Djibril Sidibé (footballer, born 1992)",player
Björn Bergmann Sigurðarson,player
Gylfi Sigurðsson,player
Ragnar Sigurðsson,player
Adrien Silva,player
"André Silva (footballer, born 1995)",player
Bernardo Silva,player
David Silva,player
Gastón Silva,player
Martín Silva,player
Thiago Silva,player
Pione Sisto,player
Ellyes Skhiri,player
Ari Freyr Skúlason,player
Ólafur Ingi Skúlason,player
Naïm Sliti,player
"Ian Smith (footballer, born 1998)",player
Igor Smolnikov,player
Fyodor Smolov,player
Ramadan Sobhi,player
Yann Sommer,player
Son Heung-min,player
Moussa Sow,player
Uroš Spajić,player
Bassem Srarfi,player
Raheem Sterling,player
Vladimir Stojković,player
John Stones,player
Ivan Strinić,player
Jens Stryger Larsen,player
Cristhian Stuani,player
Luis Suárez,player
Danijel Subašić,player
Niklas Süle,player
Gustav Svensson,player
Wojciech Szczęsny,player
Dušan Tadić,player
Nicolás Tagliafico,player
Ahmed Reda Tagnaouti,player
Taison,player
Alfredo Talavera,player
Renato Tapia,player
Mehdi Taremi,player
Luis Tejada,player
Yeltsin Tejeda,player
Łukasz Teodorczyk,player
Marc-André ter Stegen,player
Florian Thauvin,player
Thiago Alcântara,player
Youri Tielemans,player
Ola Toivonen,player
Corentin Tolisso,player
Mehdi Torabi,player
Lucas Torreira,player
Gabriel Torres,player
Román Torres,player
Duško Tošić,player
Kevin Trapp,player
Miguel Trauco,player
Arnór Ingvi Traustason,player
Kieran Trippier,player
William Troost-Ekong,player
Naomichi Ueda,player
Samuel Umtiti,player
Marco Ureña,player
Mateus Uribe,player
Jonathan Urretaviscaya,player
Takashi Usami,player
Francis Uzoho,player
Raphaël Varane,player
Jamie Vardy,player
Guillermo Varela,player
Camilo Vargas,player
Lucas Vázquez,player
Matías Vecino,player
Carlos Vela,player
Miloš Veljković,player
Johan Venegas,player
Thomas Vermaelen,player
Jan Vertonghen,player
Jannik Vestergaard,player
Domagoj Vida,player
Šime Vrsaljko,player
Danny Vukovic,player
Moussa Wagué,player
Kyle Walker,player
Rodney Wallace (footballer),player
Amr Warda,player
Kendall Waston,player
Danny Welbeck,player
Timo Werner,player
"Willian (footballer, born 1988)",player
Axel Witsel,player
Granit Xhaka,player
Hotaru Yamaguchi,player
Aleksandr Yerokhin,player
Maya Yoshida,player
Yoshimar Yotún,player
Ashley Young,player
Yun Young-sun,player
Denis Zakaria,player
Cristián Zapata,player
Yuri Zhirkov,player
Piotr Zieliński,player
Andrija Živković,player
Hakim Ziyech,player
Roman Zobnin,player
Steven Zuber,player